FIPS,Geography,2017 Population,2017 Median Age,2017 Total households,2017 Median HHIncome,2017 Average household size,2017 Total families,2017 Average family size,2017 Percent owner-occupied housing units,2017 Percent renter-occupied housing units,2017 Population 16 years and over,2017 Unemployment rate (Population 16 years and over)
10100,"Aberdeen, SD Micro Area",42608,37.8,17907,54533,2.29,11172,2.89,67.5,32.5,33671,1.8
10140,"Aberdeen, WA Micro Area",71454,43.5,28070,45483,2.44,17782,3.0,66.1,33.9,58156,10.1
10180,"Abilene, TX Metro Area",169000,33.9,60369,48156,2.57,39949,3.12,62.4,37.6,133221,4.4
10220,"Ada, OK Micro Area",38289,35.5,14512,46689,2.54,9459,3.07,64.0,36.0,30079,5.1
10300,"Adrian, MI Micro Area",98585,41.6,38115,51339,2.45,25130,3.0,77.7,22.3,79966,5.9
10420,"Akron, OH Metro Area",703398,40.2,285229,53418,2.41,178289,3.03,66.3,33.7,574334,6.6
10460,"Alamogordo, NM Micro Area",65130,35.6,23657,43533,2.61,14997,3.36,64.1,35.9,51341,9.3
10500,"Albany, GA Metro Area",153776,36.6,57644,40612,2.57,38353,3.17,54.6,45.4,120069,12.6
10540,"Albany, OR Metro Area",121074,39.7,46265,49515,2.59,31521,3.07,64.1,35.9,96368,8.8
10580,"Albany-Schenectady-Troy, NY Metro Area",881862,40.0,349325,65743,2.43,209391,3.12,64.3,35.7,725952,5.6
10620,"Albemarle, NC Micro Area",60875,42.4,23859,46017,2.46,16751,2.94,72.5,27.5,49252,8.0
10660,"Albert Lea, MN Micro Area",30619,44.3,12958,51174,2.32,8428,2.82,76.8,23.2,24653,4.1
10700,"Albertville, AL Micro Area",94738,38.8,34588,41104,2.71,24212,3.28,70.7,29.3,73909,6.5
10740,"Albuquerque, NM Metro Area",905049,37.7,345399,50781,2.58,215883,3.27,67.1,32.9,720621,7.0
10760,"Alexander City, AL Micro Area",40756,43.3,16369,42181,2.45,11456,2.97,71.9,28.1,33010,9.2
10780,"Alexandria, LA Metro Area",154385,37.3,55303,42275,2.65,36789,3.32,62.0,38.0,120886,7.8
10820,"Alexandria, MN Micro Area",36891,44.3,16175,58667,2.25,10433,2.76,75.1,24.9,29900,3.1
